Ensembl Transcript ID,Ensembl Gene ID,Ensembl Gene Info
ENST00000442309,ENSG00000005436,ENSG00000005436 [Biotype: protein_coding] [Chr_Location: 2:75652000-75710985] [Chr_Band: p12] [Chr_Strand: -1] [Description: GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]]
ENST00000577810,ENSG00000141741,ENSG00000141741 [Biotype: protein_coding] [Chr_Location: 17:39728496-39730532] [Chr_Band: q12] [Chr_Strand: -1] [Description: migration and invasion enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28230]]
ENST00000527302,ENSG00000140988,ENSG00000140988 [Biotype: protein_coding] [Chr_Location: 16:1962058-1964841] [Chr_Band: p13.3] [Chr_Strand: -1] [Description: ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]]
ENST00000544405,ENSG00000103479,ENSG00000103479 [Biotype: protein_coding] [Chr_Location: 16:53433977-53491648] [Chr_Band: q12.2] [Chr_Strand: 1] [Description: RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]]
ENST00000506997,ENSG00000153037,ENSG00000153037 [Biotype: protein_coding] [Chr_Location: 5:112861188-112898371] [Chr_Band: q22.2] [Chr_Strand: 1] [Description: signal recognition particle 19 [Source:HGNC Symbol;Acc:HGNC:11300]]
ENST00000331825,ENSG00000087086,ENSG00000087086 [Biotype: protein_coding] [Chr_Location: 19:48965309-48966879] [Chr_Band: q13.33] [Chr_Strand: 1] [Description: ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]]
ENST00000420814,ENSG00000177479,ENSG00000177479 [Biotype: protein_coding] [Chr_Location: 3:48918821-48986382] [Chr_Band: p21.31] [Chr_Strand: 1] [Description: ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]]
ENST00000453351,ENSG00000172888,ENSG00000172888 [Biotype: protein_coding] [Chr_Location: 3:40524878-40574685] [Chr_Band: p22.1] [Chr_Strand: 1] [Description: zinc finger protein 621 [Source:HGNC Symbol;Acc:HGNC:24787]]
ENST00000582925,ENSG00000135164,ENSG00000135164 [Biotype: protein_coding] [Chr_Location: 7:87152409-87196337] [Chr_Band: q21.12] [Chr_Strand: 1] [Description: cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]]
ENST00000343550,ENSG00000105698,"ENSG00000105698 [Biotype: protein_coding] [Chr_Location: 19:35268962-35279821] [Chr_Band: q13.12] [Chr_Strand: 1] [Description: upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]]"
ENST00000522707,ENSG00000168575,ENSG00000168575 [Biotype: protein_coding] [Chr_Location: 8:42416475-42541926] [Chr_Band: p11.21] [Chr_Strand: -1] [Description: solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]]
ENST00000458579,ENSG00000136279,ENSG00000136279 [Biotype: protein_coding] [Chr_Location: 7:44044640-44069456] [Chr_Band: p13] [Chr_Strand: 1] [Description: drebrin like [Source:HGNC Symbol;Acc:HGNC:2696]]
ENST00000531243,ENSG00000090621,ENSG00000090621 [Biotype: protein_coding] [Chr_Location: 1:39560709-39576790] [Chr_Band: p34.3] [Chr_Strand: -1] [Description: poly(A) binding protein cytoplasmic 4 [Source:HGNC Symbol;Acc:HGNC:8557]]
ENST00000518384,ENSG00000168575,ENSG00000168575 [Biotype: protein_coding] [Chr_Location: 8:42416475-42541926] [Chr_Band: p11.21] [Chr_Strand: -1] [Description: solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]]
ENST00000590692,ENSG00000134779,ENSG00000134779 [Biotype: protein_coding] [Chr_Location: 18:36777647-36829216] [Chr_Band: q12.2] [Chr_Strand: -1] [Description: tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]]
ENST00000545406,ENSG00000051825,ENSG00000051825 [Biotype: protein_coding] [Chr_Location: 12:123152320-123244014] [Chr_Band: q24.31] [Chr_Strand: -1] [Description: M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]]
ENST00000474165,ENSG00000144815,ENSG00000144815 [Biotype: protein_coding] [Chr_Location: 3:101779202-101828231] [Chr_Band: q12.3] [Chr_Strand: 1] [Description: neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]]
ENST00000574165,ENSG00000129250,ENSG00000129250 [Biotype: protein_coding] [Chr_Location: 17:4997950-5028401] [Chr_Band: p13.2] [Chr_Strand: 1] [Description: kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]]
ENST00000472914,ENSG00000123552,ENSG00000123552 [Biotype: protein_coding] [Chr_Location: 6:99432325-99521728] [Chr_Band: q16.2] [Chr_Strand: -1] [Description: ubiquitin specific peptidase 45 [Source:HGNC Symbol;Acc:HGNC:20080]]
ENST00000563253,ENSG00000159593,ENSG00000159593 [Biotype: protein_coding] [Chr_Location: 16:66802875-66873256] [Chr_Band: q22.1] [Chr_Strand: -1] [Description: NEDD8 activating enzyme E1 subunit 1 [Source:HGNC Symbol;Acc:HGNC:621]]
ENST00000327628,ENSG00000182606,ENSG00000182606 [Biotype: protein_coding] [Chr_Location: 3:42013802-42225890] [Chr_Band: p22.1] [Chr_Strand: 1] [Description: trafficking kinesin protein 1 [Source:HGNC Symbol;Acc:HGNC:29947]]
ENST00000588746,ENSG00000104907,ENSG00000104907 [Biotype: protein_coding] [Chr_Location: 19:13104902-13117567] [Chr_Band: p13.13] [Chr_Strand: -1] [Description: tRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25980]]
ENST00000535496,ENSG00000176871,ENSG00000176871 [Biotype: protein_coding] [Chr_Location: 12:118032687-118062430] [Chr_Band: q24.23] [Chr_Strand: -1] [Description: WD repeat and SOCS box containing 2 [Source:HGNC Symbol;Acc:HGNC:19222]]
ENST00000223084,ENSG00000106355,"ENSG00000106355 [Biotype: protein_coding] [Chr_Location: 7:32485338-32495283] [Chr_Band: p14.3] [Chr_Strand: -1] [Description: LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]]"
ENST00000583170,ENSG00000161526,ENSG00000161526 [Biotype: protein_coding] [Chr_Location: 17:75667251-75708062] [Chr_Band: q25.1] [Chr_Strand: 1] [Description: SAP30 binding protein [Source:HGNC Symbol;Acc:HGNC:30785]]
ENST00000369313,ENSG00000121851,ENSG00000121851 [Biotype: protein_coding] [Chr_Location: 1:145964690-145978848] [Chr_Band: q21.1] [Chr_Strand: 1] [Description: RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]]
ENST00000563958,ENSG00000067365,"ENSG00000067365 [Biotype: protein_coding] [Chr_Location: 16:8621683-8649654] [Chr_Band: p13.2] [Chr_Strand: 1] [Description: methyltransferase 22, Kin17 lysine [Source:HGNC Symbol;Acc:HGNC:28368]]"
ENST00000323557,ENSG00000112146,ENSG00000112146 [Biotype: protein_coding] [Chr_Location: 6:53051991-53100873] [Chr_Band: p12.1] [Chr_Strand: 1] [Description: F-box protein 9 [Source:HGNC Symbol;Acc:HGNC:13588]]
ENST00000438710,ENSG00000144362,"ENSG00000144362 [Biotype: protein_coding] [Chr_Location: 2:169694454-169701708] [Chr_Band: q31.1] [Chr_Strand: 1] [Description: phosphatase, orphan 2 [Source:HGNC Symbol;Acc:HGNC:28316]]"
ENST00000472571,ENSG00000182518,ENSG00000182518 [Biotype: protein_coding] [Chr_Location: X:55143102-55161310] [Chr_Band: p11.21] [Chr_Strand: -1] [Description: family with sequence similarity 104 member B [Source:HGNC Symbol;Acc:HGNC:25085]]
ENST00000514395,ENSG00000214367,ENSG00000214367 [Biotype: protein_coding] [Chr_Location: 4:2078998-2242276] [Chr_Band: p16.3] [Chr_Strand: -1] [Description: HAUS augmin like complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28719]]
ENST00000454786,ENSG00000184182,ENSG00000184182 [Biotype: protein_coding] [Chr_Location: 2:237966827-238042782] [Chr_Band: q37.3] [Chr_Strand: 1] [Description: ubiquitin conjugating enzyme E2 F (putative) [Source:HGNC Symbol;Acc:HGNC:12480]]
