# Warning: p-values will be inaccurate if primary and control
#          sequences have different length distributions.
RANK	DB	ID	ALT_ID	CONSENSUS	TP	TP%	FP	FP%	ENR_RATIO	SCORE_THR	PVALUE	LOG_PVALUE	EVALUE	LOG_EVALUE	QVALUE	LOG_QVALUE
14	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_111		GBHKCTAAD	598	82.48	4757	73.41	1.12	3.5	4.33e-3	-5.44	1.05e0	0.05	3.92e-2	-3.24
15	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_119		DWWWSTKWA	533	73.52	4210	64.97	1.13	4.2	4.33e-3	-5.44	1.05e0	0.05	3.92e-2	-3.24
16	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_153		GTYTAARBN	554	76.41	4391	67.76	1.13	1.9	4.62e-3	-5.38	1.12e0	0.12	3.92e-2	-3.24
17	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_7		ATGKTATAW	556	76.69	4420	68.21	1.12	2.7	5.48e-3	-5.21	1.33e0	0.29	4.34e-2	-3.14
18	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_147		KTWRWWKDN	690	95.17	5563	85.85	1.11	2.4	6.19e-3	-5.08	1.50e0	0.41	4.34e-2	-3.14
19	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_242		CAATTADTG	470	64.83	3708	57.22	1.13	3.8	6.46e-3	-5.04	1.57e0	0.45	4.34e-2	-3.14
20	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_248		YWRATGATW	660	91.03	5313	81.99	1.11	0.96	6.55e-3	-5.03	1.59e0	0.46	4.34e-2	-3.14
21	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_13		BTWKATGMN	510	70.34	4047	62.45	1.13	3.7	6.72e-3	-5.00	1.63e0	0.49	4.34e-2	-3.14
22	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_179		HAARATGRV	533	73.52	4244	65.49	1.12	0.018	7.02e-3	-4.96	1.71e0	0.53	4.34e-2	-3.14
23	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_207		GYRGTKKAT	577	79.59	4622	71.33	1.12	3.5	7.64e-3	-4.87	1.86e0	0.62	4.51e-2	-3.10
24	/home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt	STunmod1_l3_f_1		AWGMWWWWR	667	92.00	5393	83.23	1.11	0.071	8.41e-3	-4.78	2.04e0	0.71	4.76e-2	-3.04

# SEA (Simple Enrichment Analysis): Version 5.4.1 compiled on Nov  5 2021 at 20:34:26
# The format of this file is described at http://meme-suite.org/doc/sea-output-format.html.
# sea --verbosity 1 --qvalue --text -p /home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/toenrich_sequences.fasta -m /home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/save_motif/STunmod1_n3000_Nov8_cv6.txt -n /home/wergillius/Project/UTR_VAE/ipynb/network_interpretation/UTRlib_background.fasta
